formula_pretty,number,band_gap,cbm,source,note
Sr4Mn2Cu3(SO)4,72,0.6452,,auto_ml_correction_v1,auto ekleme; mp=mp-555856; raw_bg=0.0000; pred_bg=0.6452; conf=0.810; gate_relaxed=True
SrFe4(CuO4)3,204,0.8926,,auto_ml_correction_v1,auto ekleme; mp=mp-1105138; raw_bg=0.0000; pred_bg=0.8926; conf=0.855; gate_relaxed=True
TaFeO4,109,1.8691,4.3839,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-861559; score=2.646
TbFe4(CuO4)3,204,0.9269,,auto_ml_correction_v1,auto ekleme; mp=mp-1105642; raw_bg=0.0000; pred_bg=0.9269; conf=0.857; gate_relaxed=True
TbMnO3,62,0.4016,4.2279,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-22055; score=3.020
ThMn4(CuO4)3,204,0.6086,,auto_ml_correction_v1,auto ekleme; mp=mp-648519; raw_bg=0.0000; pred_bg=0.6086; conf=0.795; gate_relaxed=True
Ti(FeO2)2,74,0.9996,,auto_ml_correction_v1,auto ekleme; mp=mp-33684; raw_bg=0.0000; pred_bg=0.9996; conf=0.776; gate_relaxed=False
TiFe5O8,166,0.9963,,auto_ml_correction_v1,auto ekleme; mp=mp-1216930; raw_bg=0.0000; pred_bg=0.9963; conf=0.814; gate_relaxed=False
TiV15O24,1,1.131,,auto_ml_correction_v1,auto ekleme; mp=mp-760220; raw_bg=0.0000; pred_bg=1.1310; conf=0.787; gate_relaxed=False
U3CuO10,2,0.8481,,auto_ml_correction_v1,auto ekleme; mp=mp-615420; raw_bg=0.0000; pred_bg=0.8481; conf=0.761; gate_relaxed=False
V2Co3O8,64,0.7477,,auto_ml_correction_v1,auto ekleme; mp=mp-540833; raw_bg=0.0000; pred_bg=0.7477; conf=0.782; gate_relaxed=False
